artists,name,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Alina Devecerski,Jag svär - Edit,0dn7zXUlBDfdBgwmqO3WDs,0.523,0.879,4,-3.672,0,0.0423,0.000403,0.000999,0.313,0.421,133.077
X Ambassadors,Jungle,1puJlKuYGH58SAFgXREUpE,0.375,0.774,2,-4.34,1,0.0839,0.000766,0.000253,0.379,0.215,78.042
David Guetta,Blast Off,2JloUbn5LzODW1jSxaLTRP,0.659,0.983,4,-4.065,1,0.151,0.00222,2.11e-06,0.162,0.118,127.949
Iron Maiden,"The Number of the Beast - Live At Estadio Nacional, Santiago",7MH6q8Jhw7O4EN889zNnDL,0.294,0.938,7,-7.556,1,0.108,0.00096,0.00154,0.959,0.373,97.865
Iron Maiden,The Trooper - 1998 Remastered Version,2pxAohyJptQWTQ5ZRWYijN,0.286,0.856,4,-6.777,0,0.0585,0.0238,0.0542,0.487,0.696,162.12
JAY-Z,No Church In The Wild,3Osd3Yf8K73aj4ySn6LrvK,0.654,0.75,8,-7.509,0,0.105,0.246,0.0178,0.167,0.557,92.78
Kanye West,POWER,2RUFzxyUlI36KKy9Agkqze,0.539,0.907,0,-4.757,0,0.13,0.0193,0,0.825,0.553,154.0
Cher Lloyd,Swagger Jagger,4WC1QKJvvYiVtMTI1KgkzS,0.661,0.84,2,-2.84,1,0.0969,0.0167,0,0.501,0.571,128.054
Jess Glynne,Hold My Hand,1i1rNVtxbE7rdFfpHuNq2j,0.642,0.823,0,-5.717,1,0.0289,0.00159,0,0.0776,0.431,122.977
Miley Cyrus,FU (feat. French Montana),6dDIOU6AqgLkrjFNPgvKY6,0.548,0.833,7,-3.294,1,0.0497,0.199,0,0.305,0.467,190.029
Travis Barker,Let's Go,2as23P5yd2cPHkB0aaTQDM,0.711,0.904,9,-5.857,1,0.218,0.14,0,0.269,0.593,150.025
The Heavy,How You Like Me Now,7ckO5VCuSYBQGceDzJMd6S,0.647,0.71,0,-4.692,1,0.029,0.000973,0.703,0.0777,0.268,110.059
Eva Simons,Policeman,5dv1k1EENIPfsmGoHOrMPc,0.635,0.959,4,-1.568,0,0.134,0.0419,1.41e-06,0.301,0.85,104.694
Jae Millz,I Like That You Can't Take That Away From Me,0xNK5JEwrnDFxjc0x5F39c,0.827,0.942,10,-5.031,0,0.13,0.175,0,0.224,0.57,117.609
Tropkillaz,Baby Baby,2MAjeVzKFjIS3JMrwwcwmE,0.771,0.821,6,-6.711,0,0.0571,0.0012,0.213,0.0919,0.341,102.042
A$AP Rocky,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",0HCVUpGn7trUlx9rOlxZIK,0.394,0.661,4,-8.684,1,0.192,0.00996,0,0.343,0.335,149.818
Marian Hill,Got It,3UruEZw1hZjtcbynGToEcv,0.819,0.443,4,-8.259,1,0.0517,0.0524,0.212,0.0349,0.547,81.982
Dawin,Dessert - Remix,7dsOFVXYce81r76fUMzVUx,0.865,0.802,6,-3.802,1,0.0479,0.0637,1.76e-06,0.0669,0.701,97.004
Oliver Heldens,Gecko (Overdrive) - Radio Edit,483XiZ5o13Cc1zoWV7jGml,0.609,0.885,0,-5.469,1,0.0642,0.00521,1.15e-05,0.336,0.76,124.959
Will Sparks,Ah Yeah So What (feat. Wiley & Elen Levon) - Radio Edit,2P51Xaa4OpMFzSJfat5fwW,0.678,0.959,0,-3.906,1,0.157,0.0661,0.652,0.18,0.664,127.978
ScHoolboy Q,Collard Greens,0zO8ctW0UiuOefR87OeJOZ,0.825,0.575,11,-4.87,1,0.0633,0.025,9.94e-06,0.205,0.65,153.954
Eminem,We Made You,0xzEDBVP6SmgByZePlbUvT,0.924,0.853,2,-1.203,1,0.0792,0.107,1.45e-06,0.129,0.67,114.003
Coolio,Gangsta's Paradise (feat. L.V.),3u9fHuAtjMY1RW2mZfO4Cf,0.641,0.63,8,-6.393,1,0.0521,0.0372,0,0.4,0.415,79.955
"Tyler, The Creator",Tamale,60b6B2ULC85t4Y5IjZvP7A,0.742,0.93,11,-7.207,1,0.0977,0.0557,0.000242,0.272,0.967,129.986
"Tyler, The Creator",Domo23,75kiQfmmuQwgquZ9RLSvuA,0.727,0.565,1,-5.564,0,0.356,0.167,0,0.262,0.597,133.094
Lil Jon & The East Side Boyz,Get Low,0r2Bul2NuCViraT2zX1l5j,0.521,0.625,1,-7.47,1,0.067,0.0301,0,0.121,0.136,101.019
Big Sean,Guap,1wcWdMlLjzp7Rx25JJN7c4,0.65,0.741,1,-5.842,1,0.184,0.322,0,0.422,0.575,146.175
JAY-Z,Lucifer,2Vc78Iazsizj2HwUHd8wgK,0.551,0.927,6,-2.263,0,0.43,0.0508,0,0.0739,0.839,171.4
JAY-Z,Otis,6aGNg25mRJdqd318f9X6Wn,0.755,0.631,7,-4.751,0,0.302,0.552,0,0.5,0.433,94.571
Kanye West,Everything I Am,1XQhZctQWzkznclbmbE7FQ,0.587,0.631,1,-6.811,1,0.308,0.461,1.54e-06,0.138,0.733,80.108
Mac Miller,Knock Knock,3uYm4MtU6jUQft2DtGqEoZ,0.667,0.922,4,-4.857,0,0.128,0.0353,0,0.364,0.509,108.952
Juicy J,Bandz A Make Her Dance,0CpLNO56aPUBQ8roB4ufSa,0.88,0.674,2,-7.857,1,0.333,0.00101,0,0.28,0.584,130.972
Desiigner,Panda,46THN9jjPWhSqFUu6YsBhv,0.679,0.734,10,-5.542,0,0.444,0.0241,1.65e-06,0.369,0.245,145.028
Kanye West,Black Skinhead,1ce3DvvGQn6hY2LMGMLCr5,0.578,0.825,1,-6.107,1,0.322,0.000986,0,0.176,0.283,130.089
JAY-Z,99 Problems,1vFVOr0psCHVWjjK2Jp298,0.496,0.969,6,-0.835,0,0.38,0.00828,0,0.0953,0.461,92.034
Frej Larsson,Mitt team - Sveriges officiella kamplåt till fotbolls- EM 2016,5DiYBPWepaplpBshNhtaGI,0.618,0.905,5,-5.506,0,0.137,0.0266,1.3e-06,0.174,0.324,128.024
Tech N9ne,The Beast,470oq4Gp1WAczVeuYri9ZU,0.7,0.918,5,-4.16,0,0.442,0.297,0,0.626,0.763,204.272
Chris Brown,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),527quxJuyqYr8kz2c94WAc,0.767,0.677,11,-6.128,0,0.184,0.0339,5.51e-06,0.144,0.538,146.155
David Guetta,This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),46NBoIAHrmR7qcUGCIFEjR,0.367,0.915,9,-3.456,0,0.0488,0.0022,5.81e-05,0.0905,0.365,110.169
Deorro,Five Hours,6r7FXNO57mlZCBY6PXcZZT,0.88,0.821,5,-2.545,0,0.118,0.0197,0.661,0.234,0.575,127.907
Sergio Ramos,La roja baila - Himno oficial de la selección española,5EbklL3iBxWedD57pMIFXM,0.65,0.789,0,-5.893,0,0.0497,0.0318,2.23e-06,0.902,0.587,129.972
Blu Cantrell,Hit 'Em Up Style (Oops!),4zYTZvtcww7OWKie7fxA9E,0.667,0.773,5,-4.983,0,0.0586,0.201,0,0.404,0.667,89.976
